Material,Object,Altitude (km),Mass (kg)
drama-AA7075,SAsupp1,84.069,1.517
drama-AA7075,SAsupp1,83.988,1.462
drama-AA7075,SAsupp1,83.906,1.407
drama-AA7075,SAsupp1,83.824,1.352
drama-AA7075,SAsupp1,83.741,1.296
drama-AA7075,SAsupp1,83.658,1.24
drama-AA7075,SAsupp1,83.574,1.183
drama-AA7075,SAsupp1,83.49,1.126
drama-AA7075,SAsupp1,83.405,1.069
drama-AA7075,SAsupp1,83.319,1.012
drama-AA7075,SAsupp1,83.232,0.955
drama-AA7075,SAsupp1,83.145,0.897
drama-AA7075,SAsupp1,83.057,0.839
drama-AA7075,SAsupp1,82.968,0.78
drama-AA7075,SAsupp1,82.879,0.722
drama-AA7075,SAsupp1,82.789,0.663
drama-AA7075,SAsupp1,82.698,0.604
drama-AA7075,SAsupp1,82.606,0.545
drama-AA7075,SAsupp1,82.514,0.486
drama-AA7075,SAsupp1,82.421,0.428
drama-AA7075,SAsupp1,82.327,0.369
drama-AA7075,SAsupp1,82.232,0.31
drama-AA7075,SAsupp1,82.137,0.252
drama-AA7075,SAsupp1,82.04,0.194
drama-AA7075,SAsupp1,81.943,0.137
drama-AA7075,SAsupp1,81.846,0.081
drama-AA7075,SAsupp1,81.748,0.028
drama-AA7075,SAsupp1,81.651,0.0
drama-AA7075,CCU,87.844,9.45
drama-AA7075,CCU,87.838,9.45
drama-AA7075,CCU,87.81,9.45
drama-AA7075,CCU,87.748,9.45
drama-AA7075,CCU,87.686,9.45
drama-AA7075,CCU,87.624,9.45
drama-AA7075,CCU,87.561,9.45
drama-AA7075,CCU,87.498,9.45
drama-AA7075,CCU,87.436,9.45
drama-AA7075,CCU,87.372,9.45
drama-AA7075,CCU,87.309,9.45
drama-AA7075,CCU,87.246,9.45
drama-AA7075,CCU,87.182,9.45
drama-AA7075,CCU,87.119,9.45
drama-AA7075,CCU,87.055,9.45
drama-AA7075,CCU,86.991,9.45
drama-AA7075,CCU,86.927,9.45
drama-AA7075,CCU,86.862,9.45
drama-AA7075,CCU,86.798,9.45
drama-AA7075,CCU,86.733,9.45
drama-AA7075,CCU,86.668,9.45
drama-AA7075,CCU,86.603,9.45
drama-AA7075,CCU,86.537,9.45
drama-AA7075,CCU,86.472,9.45
drama-AA7075,CCU,86.406,9.45
drama-AA7075,CCU,86.34,9.45
drama-AA7075,CCU,86.273,9.45
drama-AA7075,CCU,86.207,9.45
drama-AA7075,CCU,86.14,9.45
drama-AA7075,CCU,86.074,9.45
drama-AA7075,CCU,86.006,9.45
drama-AA7075,CCU,85.939,9.45
drama-AA7075,CCU,85.871,9.45
drama-AA7075,CCU,85.804,9.45
drama-AA7075,CCU,85.736,9.45
drama-AA7075,CCU,85.667,9.45
drama-AA7075,CCU,85.599,9.45
drama-AA7075,CCU,85.53,9.45
drama-AA7075,CCU,85.461,9.45
drama-AA7075,CCU,85.392,9.45
drama-AA7075,CCU,85.322,9.45
drama-AA7075,CCU,85.252,9.45
drama-AA7075,CCU,85.182,9.45
drama-AA7075,CCU,85.112,9.45
drama-AA7075,CCU,85.041,9.45
drama-AA7075,CCU,84.97,9.45
drama-AA7075,CCU,84.899,9.45
drama-AA7075,CCU,84.828,9.45
drama-AA7075,CCU,84.756,9.45
drama-AA7075,CCU,84.684,9.45
drama-AA7075,CCU,84.611,9.45
drama-AA7075,CCU,84.539,9.45
drama-AA7075,CCU,84.466,9.45
drama-AA7075,CCU,84.392,9.45
drama-AA7075,CCU,84.319,9.45
drama-AA7075,CCU,84.245,9.45
drama-AA7075,CCU,84.171,9.45
drama-AA7075,CCU,84.096,9.45
drama-AA7075,CCU,84.021,9.45
drama-AA7075,CCU,83.946,9.45
drama-AA7075,CCU,83.87,9.45
drama-AA7075,CCU,83.794,9.45
drama-AA7075,CCU,83.718,9.45
drama-AA7075,CCU,83.641,9.45
drama-AA7075,CCU,83.564,9.45
drama-AA7075,CCU,83.487,9.45
drama-AA7075,CCU,83.409,9.45
drama-AA7075,CCU,83.331,9.45
drama-AA7075,CCU,83.252,9.45
drama-AA7075,CCU,83.174,9.45
drama-AA7075,CCU,83.094,9.45
drama-AA7075,CCU,83.015,9.45
drama-AA7075,CCU,82.935,9.45
drama-AA7075,CCU,82.854,9.45
drama-AA7075,CCU,82.773,9.45
drama-AA7075,CCU,82.692,9.45
drama-AA7075,CCU,82.61,9.45
drama-AA7075,CCU,82.528,9.45
drama-AA7075,CCU,82.445,9.45
drama-AA7075,CCU,82.362,9.45
drama-AA7075,CCU,82.279,9.45
