Temps (s),Altitude (km)
1178.55,103.542
1179.55,103.516
1180.55,103.49
1181.55,103.464
1182.55,103.438
1183.55,103.412
1184.55,103.385
1185.55,103.359
1186.55,103.333
1187.55,103.306
1188.55,103.28
1189.55,103.254
1190.55,103.227
1191.55,103.201
1192.55,103.174
1193.55,103.147
1194.55,103.121
1195.55,103.094
1196.55,103.067
1197.55,103.04
1198.55,103.013
1199.55,102.986
1200.55,102.959
1201.55,102.932
1202.55,102.905
1203.55,102.878
1204.55,102.851
1205.55,102.824
1206.55,102.796
1207.55,102.769
1208.55,102.742
1209.55,102.714
1210.55,102.687
1211.55,102.659
1212.55,102.632
1213.55,102.604
1214.55,102.576
1215.55,102.549
1216.55,102.521
1217.55,102.493
1218.55,102.465
1219.55,102.437
1220.55,102.409
1221.55,102.381
1222.55,102.353
1223.55,102.325
1224.55,102.297
1225.55,102.268
1226.55,102.24
1227.55,102.212
1228.55,102.183
1229.55,102.155
1230.55,102.126
1231.55,102.098
1232.55,102.069
1233.55,102.04
1234.55,102.012
1235.55,101.983
1236.55,101.954
1237.55,101.925
1238.55,101.896
1239.55,101.867
1240.55,101.838
1241.55,101.809
1242.55,101.78
1243.55,101.751
1244.55,101.721
1245.55,101.692
1246.55,101.663
1247.55,101.633
1248.55,101.604
1249.55,101.574
1250.55,101.544
1251.55,101.515
1252.55,101.485
1253.55,101.455
1254.55,101.425
1255.55,101.395
1256.55,101.365
1257.55,101.335
1258.55,101.305
1259.55,101.275
1260.55,101.245
1261.55,101.215
1262.55,101.184
1263.55,101.154
1264.55,101.123
1265.55,101.093
1266.55,101.062
1267.55,101.031
1268.55,101.001
1269.55,100.97
1270.55,100.939
1271.55,100.908
1272.55,100.877
1273.55,100.846
1274.55,100.815
1275.55,100.784
1276.55,100.753
1277.55,100.721
1278.55,100.69
1279.55,100.659
1280.55,100.627
1281.55,100.596
1282.55,100.564
1283.55,100.532
1284.55,100.501
1285.55,100.469
1286.55,100.437
1287.55,100.405
1288.55,100.373
1289.55,100.341
1290.55,100.309
1291.55,100.277
1292.55,100.244
1293.55,100.212
1294.55,100.18
1295.55,100.147
1296.55,100.114
1297.55,100.082
1298.55,100.049
1299.55,100.016
1300.55,99.984
1301.55,99.951
1302.55,99.918
1303.55,99.885
1304.55,99.851
1305.55,99.818
1306.55,99.785
1307.55,99.752
1308.55,99.718
1309.55,99.685
1310.55,99.651
1311.55,99.618
1312.55,99.584
1313.55,99.55
1314.55,99.516
1315.55,99.482
1316.55,99.448
1317.55,99.414
1318.55,99.38
1319.55,99.346
1320.55,99.312
1321.55,99.277
1322.55,99.243
1323.55,99.208
1324.55,99.174
1325.55,99.139
1326.55,99.104
1327.55,99.069
1328.55,99.034
1329.55,98.999
1330.55,98.964
1331.55,98.929
1332.55,98.894
1333.55,98.858
1334.55,98.823
1335.55,98.788
1336.55,98.752
1337.55,98.716
1338.55,98.681
1339.55,98.645
1340.55,98.609
1341.55,98.573
1342.55,98.537
1343.55,98.501
1344.55,98.464
1345.55,98.428
1346.55,98.392
1347.55,98.355
1348.55,98.319
1349.55,98.282
1350.55,98.245
1351.55,98.208
1352.55,98.171
1353.55,98.134
1354.55,98.097
1355.55,98.06
1356.55,98.023
1357.55,97.985
1358.55,97.948
1359.55,97.91
1360.55,97.873
1361.55,97.835
1362.55,97.797
1363.55,97.759
1364.55,97.721
1365.55,97.683
1366.55,97.645
1367.55,97.606
1368.55,97.568
1369.55,97.53
1370.55,97.491
1371.55,97.452
1372.55,97.414
1373.55,97.375
1374.55,97.336
1375.55,97.297
1376.55,97.257
1377.55,97.218
1378.55,97.179
1379.55,97.139
1380.55,97.1
1381.55,97.06
1382.55,97.02
1383.55,96.981
1384.55,96.941
1385.55,96.901
1386.55,96.86
1387.55,96.82
1388.55,96.78
1389.55,96.739
1390.55,96.699
1391.55,96.658
1392.55,96.617
1393.55,96.576
1394.55,96.535
1395.55,96.494
1396.55,96.453
1397.55,96.412
1398.55,96.37
1399.55,96.329
1400.55,96.287
1401.55,96.245
1402.55,96.203
1403.55,96.161
1404.55,96.119
1405.55,96.077
1406.55,96.035
1407.55,95.992
1408.55,95.95
1409.55,95.907
1410.55,95.864
1411.55,95.822
1412.55,95.779
1413.55,95.735
1414.55,95.692
1415.55,95.649
1416.55,95.605
1417.55,95.562
1418.55,95.518
1419.55,95.474
1420.55,95.43
1421.55,95.386
1422.55,95.342
1423.55,95.298
1424.55,95.253
1425.55,95.209
1426.55,95.164
1427.55,95.119
1428.55,95.074
1429.55,95.029
1430.55,94.984
1431.55,94.939
1432.55,94.893
1433.55,94.848
1434.55,94.802
1435.55,94.756
1436.55,94.71
1437.55,94.664
1438.55,94.618
1439.55,94.572
1440.55,94.525
1441.55,94.479
1442.55,94.432
1443.55,94.385
1444.55,94.338
1445.55,94.291
1446.55,94.244
1447.55,94.196
1448.55,94.149
1449.55,94.101
1450.55,94.053
1451.55,94.005
1452.55,93.957
1453.55,93.909
1454.55,93.86
1455.55,93.812
1456.55,93.763
1457.55,93.714
1458.55,93.665
1459.55,93.616
1460.55,93.567
1461.55,93.518
1462.55,93.468
1463.55,93.418
1464.55,93.369
1465.55,93.319
1466.55,93.268
1467.55,93.218
1468.55,93.168
1469.55,93.117
1470.55,93.066
1471.55,93.015
1472.55,92.964
1473.55,92.913
1474.55,92.862
1475.55,92.81
1476.55,92.758
1477.55,92.706
1478.55,92.654
1479.55,92.602
1480.55,92.55
1481.55,92.497
1482.55,92.445
1483.55,92.392
1484.55,92.339
1485.55,92.285
1486.55,92.232
1487.55,92.179
1488.55,92.125
1489.55,92.071
1490.55,92.017
1491.55,91.963
1492.55,91.908
1493.55,91.854
1494.55,91.799
1495.55,91.744
1496.55,91.689
1497.55,91.634
1498.55,91.578
1499.55,91.523
1500.55,91.467
1501.55,91.411
1502.55,91.355
1503.55,91.298
1504.55,91.242
1505.55,91.185
1506.55,91.128
1507.55,91.071
1508.55,91.014
1509.55,90.956
1510.55,90.899
1511.55,90.841
1512.55,90.783
1513.55,90.725
1514.55,90.666
1515.55,90.607
1516.55,90.549
1517.55,90.49
1518.55,90.43
1519.55,90.371
1520.55,90.311
1521.55,90.251
1522.55,90.191
1523.55,90.131
1524.55,90.071
1525.55,90.01
1526.55,89.949
1527.55,89.888
